n,deslocamento,x,y
1260,3868,38,68
1261,3872,38,72
1262,3876,38,76
1263,3880,38,80
1264,3884,38,84
1265,3888,38,88
1266,3892,38,92
1267,3896,38,96
1268,3900,39,0
1269,3904,39,4
1270,3908,39,8
1271,3912,39,12
1272,3916,39,16
1273,3920,39,20
1274,3924,39,24
1275,3928,39,28
1276,3932,39,32
1277,3936,39,36
1278,3940,39,40
1279,3944,39,44
1280,3948,39,48
1281,7540,75,40
1282,7544,75,44
1283,7548,75,48
1284,7552,75,52
1285,7556,75,56
1286,7560,75,60
1287,7564,75,64
1288,7568,75,68
1289,7572,75,72
1290,7576,75,76
1291,7580,75,80
1292,7584,75,84
1293,7588,75,88
1294,7592,75,92
1295,7596,75,96
1296,7600,76,0
1297,7604,76,4
1298,7608,76,8
1299,7612,76,12
1300,7616,76,16
1301,7620,76,20
1302,7624,76,24
1303,7628,76,28
1304,7632,76,32
1305,7636,76,36
1306,7640,76,40
1307,7644,76,44
1308,7648,76,48
1309,7652,76,52
1310,7656,76,56
1311,7660,76,60
1312,7664,76,64
1313,7668,76,68
1314,7672,76,72
1315,7676,76,76
1316,7680,76,80
1317,7684,76,84
1318,7688,76,88
1319,7692,76,92
1320,7696,76,96
1321,7700,77,0
1322,7704,77,4
1323,7708,77,8
1324,7712,77,12
1325,7716,77,16
1326,7720,77,20
1327,7724,77,24
1328,7728,77,28
1329,7732,77,32
1330,7736,77,36
1331,7740,77,40
1332,7744,77,44
1333,7748,77,48
1334,7752,77,52
1335,7756,77,56
1336,7760,77,60
1337,7764,77,64
1338,7768,77,68
1339,7772,77,72
1340,7776,77,76
1341,7780,77,80
1342,7784,77,84
1343,7788,77,88
1344,7792,77,92
1345,7796,77,96
1346,7800,78,0
1347,7804,78,4
1348,7808,78,8
1349,7812,78,12
1350,7816,78,16
1351,7820,78,20
1352,7824,78,24
1353,7828,78,28
1354,7832,78,32
1355,7836,78,36
1356,7840,78,40
1357,7844,78,44
1358,7848,78,48
1359,7852,78,52
1360,7856,78,56
1361,7860,78,60
1362,7864,78,64
1363,7868,78,68
1364,7872,78,72
1365,7876,78,76
1366,7880,78,80
1367,7884,78,84
1368,7888,78,88
1369,7892,78,92
1370,7896,78,96
1371,7900,79,0
1372,7904,79,4
1373,7908,79,8
1374,7912,79,12
1375,7916,79,16
1376,7920,79,20
1377,7924,79,24
1378,7928,79,28
1379,7932,79,32
1380,7936,79,36
1381,7940,79,40
1382,7944,79,44
1383,7948,79,48
1384,7952,79,52
1385,7956,79,56
1386,7960,79,60
1387,7964,79,64
1388,7968,79,68
1389,7972,79,72
1390,7976,79,76
1391,7980,79,80
1392,7984,79,84
1393,7988,79,88
1394,7992,79,92
1395,7996,79,96
1396,8000,80,0
1397,8004,80,4
1398,8008,80,8
1399,8012,80,12
1400,8016,80,16
1401,8020,80,20
1402,8024,80,24
1403,8028,80,28
1404,8032,80,32
1405,8036,80,36
1406,8040,80,40
1407,8044,80,44
1408,8048,80,48
1409,8052,80,52
1410,8056,80,56
1411,8060,80,60
1412,8064,80,64
1413,8068,80,68
1414,8072,80,72
1415,8076,80,76
1416,8080,80,80
1417,8084,80,84
1418,8088,80,88
1419,8092,80,92
1420,8096,80,96
1421,8100,81,0
1422,8104,81,4
1423,8108,81,8
1424,8112,81,12
1425,8116,81,16
1426,8120,81,20
1427,8124,81,24
1428,8128,81,28
1429,8132,81,32
1430,8136,81,36
1431,8140,81,40
1432,8144,81,44
