n,offset,x,y
1157,5214,52,14
1158,5218,52,18
1159,5222,52,22
1160,5702,57,2
1161,5626,56,26
1162,5642,56,42
1163,5578,55,78
1164,5522,55,22
1165,5470,54,70
1166,5670,56,70
1167,5542,55,42
1168,5514,55,14
1169,5498,54,98
1170,5646,56,46
1171,5538,55,38
1172,5482,54,82
1173,5658,56,58
1174,5674,56,74
1175,5562,55,62
1176,5606,56,6
1177,5530,55,30
1178,5706,57,6
1179,5630,56,30
1180,5650,56,50
1181,5582,55,82
1182,5526,55,26
1183,5474,54,74
1184,5678,56,78
1185,5546,55,46
1186,5518,55,18
1187,5502,55,2
1188,5654,56,54
1189,5454,54,54
1190,5634,56,34
1191,5506,55,6
1192,5458,54,58
1193,5462,54,62
1194,5466,54,66
1195,5586,55,86
1196,5478,54,78
1197,5558,55,58
1198,5598,55,98
1199,5486,54,86
1200,5666,56,66
1201,5698,56,98
1202,5490,54,90
1203,5566,55,66
1204,5638,56,38
1205,5662,56,62
1206,5686,56,86
1207,5614,56,14
1208,5682,56,82
1209,5494,54,94
1210,5510,55,10
1211,5554,55,54
1212,5618,56,18
1213,5590,55,90
1214,5534,55,34
1215,5690,56,90
1216,5550,55,50
1217,5570,55,70
1218,5694,56,94
1219,5574,55,74
1220,5594,55,94
1221,5602,56,2
1222,5610,56,10
1223,5622,56,22
1224,5758,57,58
1225,5858,58,58
1226,5818,58,18
1227,5930,59,30
1228,5822,58,22
1229,5786,57,86
1230,5826,58,26
1231,5766,57,66
1232,5810,58,10
1233,5866,58,66
1234,5806,58,6
1235,5834,58,34
1236,5850,58,50
1237,5854,58,54
1238,5886,58,86
1239,5746,57,46
1240,5830,58,30
1241,5838,58,38
1242,5862,58,62
1243,5742,57,42
1244,5910,59,10
1245,5914,59,14
1246,5734,57,34
1247,5750,57,50
1248,5790,57,90
1249,5794,57,94
1250,5782,57,82
1251,5918,59,18
1252,5922,59,22
1253,5722,57,22
1254,5802,58,2
1255,5870,58,70
1256,5874,58,74
1257,5762,57,62
1258,5938,59,38
1259,5814,58,14
